Filename,Valid,ValidationTime,Width,Height,BandCount,DataType,CRS,Transform,Errors,Warnings,SR_B5_Min,SR_B5_Max,SR_B5_Mean,SR_B5_Std,SR_B5_NaN,SR_B5_Inf,SR_B5_ZeroPixels,SR_B5_Empty,SR_B6_Min,SR_B6_Max,SR_B6_Mean,SR_B6_Std,SR_B6_NaN,SR_B6_Inf,SR_B6_ZeroPixels,SR_B6_Empty,SR_B7_Min,SR_B7_Max,SR_B7_Mean,SR_B7_Std,SR_B7_NaN,SR_B7_Inf,SR_B7_ZeroPixels,SR_B7_Empty,ST_B10_Min,ST_B10_Max,ST_B10_Mean,ST_B10_Std,ST_B10_NaN,ST_B10_Inf,ST_B10_ZeroPixels,ST_B10_Empty,SR_B4_Min,SR_B4_Max,SR_B4_Mean,SR_B4_Std,SR_B4_NaN,SR_B4_Inf,SR_B4_ZeroPixels,SR_B4_Empty,SR_B3_Min,SR_B3_Max,SR_B3_Mean,SR_B3_Std,SR_B3_NaN,SR_B3_Inf,SR_B3_ZeroPixels,SR_B3_Empty,SR_B2_Min,SR_B2_Max,SR_B2_Mean,SR_B2_Std,SR_B2_NaN,SR_B2_Inf,SR_B2_ZeroPixels,SR_B2_Empty
| 0.00,-30.00, 2567955.00|
| 0.00, 0.00, 1.00|",,,0.0,44007.0,15055.6181640625,4629.10205078125,0,0,54783,False,0.0,65454.0,14223.0810546875,4430.951171875,0,0,54783,False,0.0,65454.0,12552.755859375,4024.851318359375,0,0,54783,False,0.0,45750.0,40660.046875,11149.052734375,0,0,54783,False,0.0,38162.0,10717.0166015625,3383.55126953125,0,0,54783,False,0.0,32556.0,10189.1328125,3052.09033203125,0,0,54783,False,0.0,27996.0,8973.0537109375,2661.655029296875,0,0,54783,False
Landsat8_Ahmedabad_2023_Winter_002.tif,True,2026-07-24 20:17:34,1044,765,7,uint16,EPSG:32642,"| 30.00, 0.00, 853185.00|
| 0.00,-30.00, 2570625.00|
| 0.00, 0.00, 1.00|",,,0.0,64244.0,14534.435546875,4053.325927734375,0,0,47507,False,0.0,65454.0,13951.6650390625,3980.88134765625,0,0,47507,False,0.0,65454.0,12350.0,3622.542236328125,0,0,47507,False,0.0,48132.0,43072.52734375,10849.6298828125,0,0,47507,False,0.0,65161.0,10662.115234375,3050.402099609375,0,0,47507,False,0.0,58025.0,10117.8876953125,2768.18017578125,0,0,47507,False,0.0,48292.0,8942.08203125,2420.15576171875,0,0,47514,False
Landsat8_Ahmedabad_2023_Winter_003.tif,True,2026-07-24 20:17:34,1038,756,7,uint16,EPSG:32643,"| 30.00, 0.00, 238605.00|
| 0.00,-30.00, 2567955.00|
| 0.00, 0.00, 1.00|",,,0.0,38266.0,15999.2265625,2254.135986328125,0,0,3968,False,0.0,65454.0,15554.427734375,2476.7509765625,0,0,3968,False,0.0,65454.0,13800.0302734375,2430.378173828125,0,0,3968,False,0.0,50088.0,46916.125,3421.975830078125,0,0,3968,False,0.0,38827.0,11617.5888671875,1957.076171875,0,0,3968,False,0.0,34021.0,10960.72265625,1532.6649169921875,0,0,3968,False,0.0,26177.0,9686.140625,1275.663330078125,0,0,3977,False
Landsat8_Ahmedabad_2024_PostMonsoon_001.tif,True,2026-07-24 20:17:34,1038,756,7,uint16,EPSG:32643,"| 30.00, 0.00, 238605.00|
| 0.00,-30.00, 2567955.00|
